Den;Datum;Zaèátek;ZS;Soutìž;ÈU;Domácí;Hosté;Stav
Út;09.09.2025;17:30;CB;ELH;6;"BANES Motor Èeské Budìjovice ";"HC Sparta Praha ";2:3
St;10.09.2025;17:00;TW;ELH;4;"HC Oceláøi Tøinec ";"HC Olomouc ";8:2
St;10.09.2025;18:00;LB;ELH;1;"Bílí Tygøi Liberec ";"HC ŠKODA PLZEÒ ";1:3
St;10.09.2025;18:00;PA;ELH;2;"HC DYNAMO PARDUBICE ";"Mountfield HK, a.s. ";7:1
St;10.09.2025;18:00;KL;ELH;3;"Rytíøi Kladno";"BK Mladá Boleslav ";1:2
St;10.09.2025;18:00;KV;ELH;5;"HC Energie Karlovy Vary ";"HC VÍTKOVICE RIDERA ";4:7
St;10.09.2025;18:00;R;ELH;7;"HC KOMETA BRNO ";"HC Litvínov ";4:2
Pá;12.09.2025;17:30;VI;ELH;9;"HC VÍTKOVICE RIDERA ";"Rytíøi Kladno";1:0sn
Pá;12.09.2025;17:30;LI;ELH;10;"HC Litvínov ";"HC Energie Karlovy Vary ";0:4
Pá;12.09.2025;17:30;MB;ELH;14;"BK Mladá Boleslav ";"HC KOMETA BRNO ";1:3
Pá;12.09.2025;18:00;HK;ELH;8;"Mountfield HK, a.s. ";"BANES Motor Èeské Budìjovice ";3:4
Pá;12.09.2025;18:00;OL;ELH;11;"HC Olomouc ";"HC ŠKODA PLZEÒ ";1:4
Pá;12.09.2025;18:00;LB;ELH;12;"Bílí Tygøi Liberec ";"HC DYNAMO PARDUBICE ";4:2
Pá;12.09.2025;18:30;O;ELH;13;"HC Sparta Praha ";"HC Oceláøi Tøinec ";5:2
Ne;14.09.2025;16:00;KL;ELH;19;"Rytíøi Kladno";"Mountfield HK, a.s. ";4:2
Ne;14.09.2025;16:00;KV;ELH;21;"HC Energie Karlovy Vary ";"HC Olomouc ";2:4
Ne;14.09.2025;16:30;PL;ELH;16;"HC ŠKODA PLZEÒ ";"BANES Motor Èeské Budìjovice ";1:4
Ne;14.09.2025;16:30;R;ELH;17;"HC KOMETA BRNO ";"HC Sparta Praha ";2:0
Ne;14.09.2025;17:00;TW;ELH;15;"HC Oceláøi Tøinec ";"Bílí Tygøi Liberec ";4:2
Ne;14.09.2025;17:00;PA;ELH;18;"HC DYNAMO PARDUBICE ";"BK Mladá Boleslav ";4:1
Ne;14.09.2025;17:30;LI;ELH;20;"HC Litvínov ";"HC VÍTKOVICE RIDERA ";0:3
Út;16.09.2025;17:30;CB;ELH;26;"BANES Motor Èeské Budìjovice ";"HC DYNAMO PARDUBICE ";4:1
Út;16.09.2025;17:30;MB;ELH;27;"BK Mladá Boleslav ";"HC Oceláøi Tøinec ";2:1
Út;16.09.2025;18:00;R;ELH;22;"HC KOMETA BRNO ";"HC VÍTKOVICE RIDERA ";5:2
Út;16.09.2025;18:00;HK;ELH;23;"Mountfield HK, a.s. ";"HC ŠKODA PLZEÒ ";4:3p
Út;16.09.2025;18:00;LB;ELH;25;"Bílí Tygøi Liberec ";"HC Litvínov ";2:4
Út;16.09.2025;18:30;O;ELH;28;"HC Sparta Praha ";"HC Energie Karlovy Vary ";1:2
St;17.09.2025;18:00;OL;ELH;24;"HC Olomouc ";"Rytíøi Kladno";4:1
Pá;19.09.2025;17:00;TW;ELH;29;"HC Oceláøi Tøinec ";"HC ŠKODA PLZEÒ ";2:1p
Pá;19.09.2025;17:30;VI;ELH;30;"HC VÍTKOVICE RIDERA ";"BK Mladá Boleslav ";2:4
Pá;19.09.2025;17:30;LI;ELH;34;"HC Litvínov ";"HC Sparta Praha ";1:5
Pá;19.09.2025;18:00;PA;ELH;31;"HC DYNAMO PARDUBICE ";"HC Olomouc ";3:1
Pá;19.09.2025;18:00;KL;ELH;32;"Rytíøi Kladno";"BANES Motor Èeské Budìjovice ";1:4
Pá;19.09.2025;18:00;KV;ELH;33;"HC Energie Karlovy Vary ";"Mountfield HK, a.s. ";3:1
Pá;19.09.2025;18:00;R;ELH;35;"HC KOMETA BRNO ";"Bílí Tygøi Liberec ";4:5
Ne;21.09.2025;15:30;MB;ELH;39;"BK Mladá Boleslav ";"HC Energie Karlovy Vary ";2:3
Ne;21.09.2025;16:00;VI;ELH;37;"HC VÍTKOVICE RIDERA ";"HC Sparta Praha ";2:3sn
Ne;21.09.2025;16:00;HK;ELH;40;"Mountfield HK, a.s. ";"HC KOMETA BRNO ";3:5
Ne;21.09.2025;16:30;PL;ELH;36;"HC ŠKODA PLZEÒ ";"HC DYNAMO PARDUBICE ";2:1
Ne;21.09.2025;17:00;CB;ELH;41;"BANES Motor Èeské Budìjovice ";"HC Oceláøi Tøinec ";2:3
Ne;21.09.2025;17:30;LB;ELH;42;"Bílí Tygøi Liberec ";"Rytíøi Kladno";4:1
Út;23.09.2025;17:30;VI;ELH;44;"HC VÍTKOVICE RIDERA ";"Bílí Tygøi Liberec ";4:2
Út;23.09.2025;17:30;LI;ELH;48;"HC Litvínov ";"BK Mladá Boleslav ";4:2
Út;23.09.2025;18:00;OL;ELH;43;"HC Olomouc ";"HC Sparta Praha ";4:2
Út;23.09.2025;18:00;KL;ELH;45;"Rytíøi Kladno";"HC DYNAMO PARDUBICE ";4:5
Út;23.09.2025;18:00;R;ELH;46;"HC KOMETA BRNO ";"HC ŠKODA PLZEÒ ";4:2
Út;23.09.2025;18:00;KV;ELH;47;"HC Energie Karlovy Vary ";"BANES Motor Èeské Budìjovice ";3:1
Èt;25.09.2025;18:00;PA;ELH;56;"HC DYNAMO PARDUBICE ";"HC Oceláøi Tøinec ";4:5
Pá;26.09.2025;17:30;MB;ELH;50;"BK Mladá Boleslav ";"HC Sparta Praha ";2:7
Pá;26.09.2025;17:30;PL;ELH;51;"HC ŠKODA PLZEÒ ";"Rytíøi Kladno";3:1
Pá;26.09.2025;17:30;CB;ELH;55;"BANES Motor Èeské Budìjovice ";"HC KOMETA BRNO ";8:0
Pá;26.09.2025;18:00;HK;ELH;52;"Mountfield HK, a.s. ";"HC Litvínov ";2:0
Pá;26.09.2025;18:00;OL;ELH;53;"HC Olomouc ";"HC VÍTKOVICE RIDERA ";2:3sn
Pá;26.09.2025;18:00;LB;ELH;54;"Bílí Tygøi Liberec ";"HC Energie Karlovy Vary ";2:1
Ne;28.09.2025;15:00;PL;ELH;62;"HC ŠKODA PLZEÒ ";"HC Energie Karlovy Vary ";3:2sn
Ne;28.09.2025;16:00;VI;ELH;58;"HC VÍTKOVICE RIDERA ";"Mountfield HK, a.s. ";0:4
Ne;28.09.2025;16:00;O;ELH;59;"HC Sparta Praha ";"Bílí Tygøi Liberec ";1:3
Ne;28.09.2025;17:00;TW;ELH;57;"HC Oceláøi Tøinec ";"Rytíøi Kladno";3:2p
Ne;28.09.2025;17:00;OL;ELH;60;"HC Olomouc ";"BK Mladá Boleslav ";3:1
Ne;28.09.2025;17:00;R;ELH;61;"HC KOMETA BRNO ";"HC DYNAMO PARDUBICE ";1:2p
Ne;28.09.2025;17:30;LI;ELH;63;"HC Litvínov ";"BANES Motor Èeské Budìjovice ";3:6
Út;30.09.2025;17:00;TW;ELH;70;"HC Oceláøi Tøinec ";"HC KOMETA BRNO ";1:0
Út;30.09.2025;17:30;CB;ELH;69;"BANES Motor Èeské Budìjovice ";"HC VÍTKOVICE RIDERA ";2:1
Út;30.09.2025;18:00;HK;ELH;65;"Mountfield HK, a.s. ";"HC Olomouc ";0:1
Út;30.09.2025;18:00;PA;ELH;66;"HC DYNAMO PARDUBICE ";"HC Litvínov ";2:1p
Út;30.09.2025;18:00;KL;ELH;67;"Rytíøi Kladno";"HC Energie Karlovy Vary ";1:3
Út;30.09.2025;18:00;LB;ELH;68;"Bílí Tygøi Liberec ";"BK Mladá Boleslav ";0:3
Út;30.09.2025;18:30;O;ELH;64;"HC Sparta Praha ";"HC ŠKODA PLZEÒ ";0:2
Pá;03.10.2025;17:00;TW;ELH;77;"HC Oceláøi Tøinec ";"HC VÍTKOVICE RIDERA ";4:5sn
Pá;03.10.2025;17:30;MB;ELH;71;"BK Mladá Boleslav ";"BANES Motor Èeské Budìjovice ";3:4
Pá;03.10.2025;17:30;LI;ELH;74;"HC Litvínov ";"HC ŠKODA PLZEÒ ";1:2
Pá;03.10.2025;18:00;R;ELH;72;"HC KOMETA BRNO ";"Rytíøi Kladno";3:4sn
Pá;03.10.2025;18:00;KV;ELH;73;"HC Energie Karlovy Vary ";"HC DYNAMO PARDUBICE ";0:3
Pá;03.10.2025;18:00;OL;ELH;75;"HC Olomouc ";"Bílí Tygøi Liberec ";0:1
Pá;03.10.2025;18:30;O;ELH;76;"HC Sparta Praha ";"Mountfield HK, a.s. ";0:2
Ne;05.10.2025;16:00;HK;ELH;80;"Mountfield HK, a.s. ";"Bílí Tygøi Liberec ";4:3p
Ne;05.10.2025;16:30;KL;ELH;82;"Rytíøi Kladno";"HC Sparta Praha ";5:4
Ne;05.10.2025;17:00;CB;ELH;78;"BANES Motor Èeské Budìjovice ";"HC Olomouc ";1:3
Ne;05.10.2025;17:00;PA;ELH;81;"HC DYNAMO PARDUBICE ";"HC VÍTKOVICE RIDERA ";3:4
Ne;05.10.2025;17:00;TW;ELH;83;"HC Oceláøi Tøinec ";"HC Litvínov ";3:1
Ne;05.10.2025;17:00;R;ELH;84;"HC KOMETA BRNO ";"HC Energie Karlovy Vary ";3:1
St;08.10.2025;17:30;PL;ELH;79;"HC ŠKODA PLZEÒ ";"BK Mladá Boleslav ";2:0
Pá;10.10.2025;17:00;KV;ELH;91;"HC Energie Karlovy Vary ";"HC Oceláøi Tøinec ";1:3
Pá;10.10.2025;17:30;LI;ELH;87;"HC Litvínov ";"Rytíøi Kladno";1:3
Pá;10.10.2025;17:30;MB;ELH;89;"BK Mladá Boleslav ";"Mountfield HK, a.s. ";2:3sn
Pá;10.10.2025;17:30;CB;ELH;90;"BANES Motor Èeské Budìjovice ";"Bílí Tygøi Liberec ";4:2
Pá;10.10.2025;18:00;OL;ELH;88;"HC Olomouc ";"HC KOMETA BRNO ";1:2
Pá;10.10.2025;18:30;O;ELH;85;"HC Sparta Praha ";"HC DYNAMO PARDUBICE ";3:6
Ne;12.10.2025;16:00;MB;ELH;94;"BK Mladá Boleslav ";"Rytíøi Kladno";2:1sn
